subject_code,subject_name
จ30219,ภาษาจีนพื้นฐาน2
ค30298,โครงงานคณิตศาสตร์1
ว20215,วิทยาศาสตร์(โครงงาน2
ส22203,การป้องกันการทุจริต
I30205,โครงงานเชิงวิศวะ
จ30223,วัฒนธรรมจีน4
i30207,โครงงานวิทย์
ง30227,อาหารและเครื่องดื่ม
ง30224,ธุรกิจการจัดดอกไม้
ว22219,Robotics
i30205,โคร่งานวิทย์
ศ30215,การเขียนภาพประกอบ
ว20216,นวัตกรน้อย
ส31205,...
ค20205,คณิตศาสตร์
ว20214,วิทยาศาสตร์โลกทั้งระ
ว30287,ดิจิตอลอาร์ต
ส32203,การป้องกันการทุจริต
ส33204,การป้องกันการทุจริต
ง20205,ประดิษฐ์จากวัสดุท้อง
อ20207,โครงงานคณิต 1 MEP
ส31206,จิตปัญญาศึกษา
ค23205,คณิตศาสตร์เพิ่มเติม
ว22203,วิทยาการคำนวณ
ว20217,ฟิสิกส์1
ว20221,ชีววิทยา1
